collateral_auction_type,collateral_name,collateral_specification,collateral_info,collateral_market_place,invoice_auction_price,invoice_ttd,invoice_num,mrent_price,cc_bill,food_cost,trans_cost,employee_installment_loan,monthly_income,Bonus_income,salary_reduction,add_income,dependents_1,dependents_2,dependents_3,dependents_4,dependents_5,coworker_report,fraud
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,23293849.563654326,69352634.85273471,True,1673.0,1270549,6249346,915463,981062,0,34090804,1790482,3252757.741903832,9147435,0,160314,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Baru,19941373.29021817,46958583.18374832,True,1261.0,848457,5583088,1100570,1292529,0,24600757,3554111,1250443.0723688942,4413377,840173,1515278,0,2675482,4550446,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,1012 m2 pedesaan Depok Barat,,4919198416.0,6189839384.235586,True,1826.0,1276747,0,1151951,1283443,5602682,13350110,0,704009.9645623708,0,0,0,0,1280325,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,1176009.720172084,3237707.4371937644,True,5988.0,1919948,843104,951975,1295553,5542680,17735854,0,1708534.6100716817,7670172,0,4811864,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Baru,14264937.123900663,21263098.204879258,True,1517.0,1731541,0,1049022,607265,8183096,17456235,0,938137.5533279348,4455795,4484475,2586431,0,989471,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2333 m2 pedesaan Depok Barat,,9397851258.0,9306026770.79596,True,3679.0,1701492,9003388,854149,1096071,0,18364725,0,1274963.114274088,11192589,0,0,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Honda CBR 150R,Baru,37646414.05746322,52045525.34970471,True,6920.0,1434613,1921754,1187227,1305996,6117159,5852546,1666850,369459.0713978627,17444397,0,0,2198200,0,3421109,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Suzuki GSX-R 150,Baru,34753132.77184616,87119709.99579786,True,,364697,0,874352,504859,0,12515887,0,644615.8775670163,0,4504407,4214114,2770902,1842659,2528827,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,4703 m2 pinggiran kota Surabaya Selatan,,47913750136.0,123966059410.27502,False,7150.0,1141664,0,959707,365251,8297305,34383926,0,2660738.409547213,866288,3277894,2502301,3477029,0,3523144,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,8135768.094847901,8939369.144805944,True,6852.0,852695,0,1387925,1450037,3679800,16163097,3733615,1393165.6472306317,10231331,3448320,0,0,3634809,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung perak sterling dengan liontin berlian tunggal,,784658.8130962265,1475952.9647840771,True,4820.0,726101,0,1144736,485197,0,24187545,0,2292236.444305629,10215714,3245896,0,1495531,4675966,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang mutiara multi dengan desain chevron,,7050552.92696546,17172463.5853487,True,,1215230,4783371,1066316,1416078,0,5871672,3166710,475435.59626209235,17730906,3398367,2469297,0,4740971,727808,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin tunangan berlian solitaire 1 karat,,29174686.74632384,33998660.73057271,False,7868.0,1568089,2501844,1050516,491669,9828420,5889376,3609795,550935.7174865879,17492861,3090118,0,2133780,0,445559,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Baru,15243751.82235399,21449125.91310735,True,8172.0,1636659,554063,1263705,1184589,0,10733259,2856424,836346.8408910283,13202027,0,0,0,3859240,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,3460 m2 perkotaan Bandung,,62829406480.0,128325895168.82849,True,5421.0,554941,0,1420936,854637,4255387,27688375,2851075,2585144.9891667687,0,0,3492740,0,0,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 267 m2 Palembang,Bekas,945224174.0,843237505.0562428,True,4837.0,1839519,2595574,1026695,822138,3311343,5876145,3564529,467001.6594548703,6418310,4300893,2469590,0,4651126,4396271,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang mutiara multi dengan desain chevron,,7110398.676301111,15270928.033599738,True,7560.0,1213200,8465498,807478,664172,2211379,6821648,0,655055.6928932979,19818792,0,4220380,3441093,0,2145851,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4060 m2 perkotaan Bandung,,71051920380.0,79593769409.64511,True,,657458,0,819707,732620,9239451,17388448,2331827,1365136.5216685752,0,0,1505076,0,265690,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 218 m2 Kulon Progo,Baru,967350568.0,2379798443.460064,True,,1753231,0,1013475,1326446,3595005,19491570,4447115,1145281.6749340647,4424398,0,0,0,0,1171578,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 60 m2 Depok,Bekas,1393236677.0,2316095467.789912,True,1783.0,1943112,5652736,858941,519477,0,16682006,0,1323693.249966822,19269161,1851400,1356159,0,873341,4580269,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Honda CRF 150L,Baru,35384000.0,41672414.242600456,True,3725.0,1647363,7782168,948769,896572,0,22998065,0,1411208.3739471973,0,2681988,0,1589691,4661960,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MacBook Air M2,Bekas,17936727.839788448,32492816.0824945,True,,382976,7735442,973893,1314397,6743193,13039562,1947959,1303593.2940094592,432185,1986367,0,3527396,0,1462337,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,"Kalung liontin berlian 0,5 karat dengan emas kuning 22 karat",,12836400.124772005,13787015.4616607,True,5254.0,1639041,678563,885472,649845,0,10974811,0,770762.5935628328,5442335,3284491,4067623,1569124,0,2769562,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 0.5 gram,,12836400.124772005,36215688.60023029,True,6606.0,994076,0,1383083,630027,0,22265043,4307154,1768714.1562204,4687404,2923166,2205626,0,3711857,2672615,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 175 m2 Surabaya Selatan,Baru,1765283362.0,1834520687.7075877,True,3241.0,1529873,0,1049823,408906,0,19164949,0,1538783.918423599,0,1448135,3768417,459119,0,0,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor bebek,Honda Supra X 125,Bekas,3531278.944337178,6701499.8627689555,True,5145.0,253814,7577259,1457512,1124684,0,12822457,4640567,1251922.8309446634,2043516,2578157,3317583,505497,4619923,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,13475267.240103714,28675835.070096202,False,9836.0,1126600,8752454,1374058,390728,0,6191918,0,505071.4692198858,7932874,465364,1137405,0,1024464,4341004,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Asus ZenBook 14X OLED,Bekas,16550370.357040642,36401560.47952851,False,8400.0,1756921,0,1070029,633603,0,27124497,1887214,1452593.4672839725,14489126,757073,192498,1020531,718315,3090444,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 127 m2 Sidoarjo,Baru,696624585.0,856236359.196686,True,1795.0,717828,5026428,917426,475352,0,17787047,2481804,1012356.0522933344,0,778117,0,3559786,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2521 m2 perkotaan Palembang,,17629368126.0,13079155007.796825,True,2049.0,350054,4198814,828663,1195508,0,10363227,3587673,952504.2848812733,17368084,820535,0,0,0,2608992,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 240 m2 Bekasi,Bekas,1240089835.0,2309506925.6592693,True,8647.0,1641830,0,885976,998751,9688584,18581967,3275511,1791743.9704244963,0,734907,0,0,4008732,2035137,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5566577.755740672,7581232.070752747,True,9034.0,1962877,2115992,1471354,836875,4534041,18218729,3637512,1077408.1756198616,0,0,3163672,0,149855,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,12028226.266290186,32460444.99005043,True,3759.0,607379,2419593,1058375,1333331,0,10256086,0,894220.6735860298,5358669,0,4887291,4814934,4398702,171063,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,28254340.963657722,33726188.8315656,True,3936.0,550217,0,1126622,979479,7782127,31099766,2817552,2285125.872960111,0,0,0,0,0,0,6,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,4283 m2 pinggiran kota Surabaya Utara,,38284657684.0,64128612789.175674,True,7411.0,359987,6324340,1034595,614907,3358957,22632575,0,1800727.726791044,0,2006758,0,0,3376233,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4349 m2 pedesaan Bantul,,21345813988.0,52830233624.567795,True,7059.0,858819,7151371,788613,451646,9041218,27060725,2885567,1641166.01014154,5857501,2761613,0,4649962,0,819586,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Audi A4,Bekas,1619633333.261242,4703954196.810799,True,8243.0,1264268,0,919054,765240,7238919,31887018,0,1609461.7629202944,0,0,0,0,922572,2449922,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3029 m2 pedesaan Gresik,,20841931084.0,48384679838.28847,True,8123.0,498492,2581494,1224943,790699,0,8130816,2180271,552211.3210479501,7266786,4832135,0,1302720,3091905,0,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,21537674.876832757,50365457.45739673,True,4363.0,1534527,0,1228328,796909,0,21269420,0,1526119.3389674467,7690212,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Suzuki DR-150S,Baru,36375922.76415608,83383840.27582256,True,4547.0,1380277,0,1113207,1058055,3477777,10759362,0,1023722.9418402439,0,4556408,0,0,769034,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 260 m2 Tangerang Selatan,Bekas,955015311.0,1301812671.8614361,True,,1294358,0,1161650,778625,0,28969544,3399622,2577951.654035991,9727974,0,0,2543184,4291861,1435424,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2022 m2 pinggiran kota Surabaya Timur,,23878788780.0,43271277795.28701,True,,1828831,1783216,1152815,1160873,0,25269683,0,1384415.445344558,0,0,0,2732389,1775311,2657681,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,25548156.39501529,15604515.68053827,True,8668.0,1388922,1188143,1098919,904510,0,31379918,2907362,2931805.238367568,0,2028917,4535032,0,0,4395276,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,18982079.448560588,53957086.61175836,True,9412.0,1117305,6484523,1256874,1194347,3940432,19451829,0,1921674.552584145,16749677,0,2828024,4827487,0,705657,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 215 m2 Mojokerto,Baru,933843606.0,1725623719.0163593,True,7761.0,1785561,0,1388314,1271968,9580964,9312677,3901117,924113.8318489519,11662564,0,0,0,0,3996827,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung liontin mutiara dengan desain jalinan,,5904502.822263856,13273717.580366535,True,7573.0,378909,6321979,1018224,921821,4396887,9106789,0,821527.0071769857,5811463,0,0,1813813,0,1998164,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,7112410.953665735,5066052.470368092,True,6832.0,1607764,2227244,1052001,1171684,2240744,6688240,2534712,337355.2121283992,0,4779972,0,0,813859,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Terios,Bekas,305282337.2056506,876751051.5354983,True,2050.0,1750055,0,1004792,1434708,9567918,14128675,0,1320258.9985947264,0,0,2840877,0,2513055,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Lenovo ThinkPad X1 Carbon Gen 10,Baru,21873105.323939934,20850449.88691543,True,7085.0,1711940,0,1194283,379184,0,29380856,4405504,2767469.5155485105,0,3806912,319048,128884,0,2405864,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,11275187.000638459,14972606.736891266,True,5146.0,1844565,0,789617,1261158,3077152,25245262,0,2285896.7761358325,0,0,0,4645300,0,210439,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,23397840.999458447,63504628.27373342,True,,363915,8233656,1112232,1407463,4826432,23115379,0,2193280.0767930937,1927587,982167,0,4980652,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,19678394.925686885,59030262.659926325,True,9300.0,1019088,0,1323161,957874,5337360,7192629,1475971,663228.1712430529,2155490,0,0,1963884,1243345,447094,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,10597661.460656738,24418201.27509725,False,7055.0,942793,3092430,1210139,1432946,6545038,26460127,0,1977685.2615530298,3431828,4853934,3564519,48225,0,870534,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Dell XPS 13 9320,Bekas,14299031.785530215,35641954.46417913,True,7592.0,1759430,0,1414867,826075,0,32293964,3617758,2007088.8070109072,0,4448844,4130887,0,3784962,0,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 5 gram,,14299031.785530215,22724480.437048424,True,7236.0,1596454,9851176,1170831,661385,0,7290478,3833024,454595.01613308967,2633592,3705936,0,581851,4324874,158314,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 241 m2 DKI Jakarta,Bekas,2943899344.0,4693501137.189359,True,9629.0,759079,0,1321169,1079671,5005990,23393253,0,2202474.663008864,0,2885580,947027,0,0,2073274,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,27320317.27160314,34790439.68562425,True,9327.0,304919,2644610,1103677,1080760,0,23649868,0,1898369.380223592,15029297,3304375,0,0,2110473,1957708,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,1313 m2 pedesaan Depok Barat,,7279417743.0,4731275651.556019,False,2526.0,651497,0,1182661,1191877,0,9311369,0,871055.4321084906,15879736,2486948,197905,0,1797835,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Baru,17462343.48439183,18016287.074639875,True,6943.0,1549402,0,1289149,922733,3951257,8654485,0,803224.222630059,17328472,0,0,888171,4042814,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,29438652.65759203,71452045.99064425,False,,535952,7768859,935609,750017,0,16987342,0,1439028.8078976485,0,0,0,3675216,388317,2300360,4,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 5 gram,,29438652.65759203,21158337.740022175,True,9572.0,341952,2064257,1153401,599679,0,5046259,0,325935.77732531034,0,2957630,770169,0,2829853,4288057,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor trail,Yamaha WR 155 R,Baru,38060000.0,33878835.0487466,True,,510997,8497147,1184459,840969,3625334,18107394,3135453,1686939.6542483945,14679012,1779118,0,1711,598075,484243,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Terios,Baru,257743807.58923745,414359043.9683968,True,9436.0,1331398,6334973,960615,1221998,5843239,33640274,1069698,2998034.7766223145,0,1577854,0,1924153,2765216,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,8806899.310325734,19487071.690272477,True,6798.0,1673678,6249104,1320834,892737,0,17325884,2328491,1596038.6337598376,4995304,0,3585488,2817735,2797762,0,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Baru,17873593.134105947,49947875.46210838,True,7735.0,1013426,0,1283275,1390654,0,17083598,0,903451.1408771365,15714280,0,0,0,0,2614161,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MacBook Air M2,Bekas,18704739.419444732,11473427.714357847,True,9595.0,410921,0,1412242,1323596,9907697,33896558,0,2253222.8693612153,4061838,0,0,1908232,1547997,2391398,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,BMW Seri 3,Baru,1460133772.1863391,1352531055.4089284,True,9344.0,1837493,7769469,1302875,1202848,8379496,26766665,4761502,2388010.963501798,17209165,0,2654887,2403318,1601654,523603,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Suzuki GSX-R 150,Bekas,22405984.87780981,41898089.58722037,True,,1829864,0,935176,449367,3595271,21185380,2898470,1252410.0753301054,820344,0,0,1462956,1327196,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Samsung Galaxy S23 Ultra,Baru,21365378.79221655,48560098.64946081,True,7305.0,1780908,9889847,1245593,1314926,0,21363641,0,1712508.0920583587,12218342,0,3236673,432292,2378815,3202233,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung perak sterling dengan liontin mutiara dan berlian,,896170.4270707067,2234983.081087579,True,6581.0,1933527,0,1264691,1291583,0,24265989,0,1675537.7096811633,14993530,2692249,26387,0,739728,4717649,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,27122327.68031196,70973169.03435384,False,6171.0,1677948,7943875,978942,1008642,0,9670947,0,486187.1104329808,0,0,0,0,1335679,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 150 m2 Surabaya Timur,Bekas,1687040595.0,1586747152.809432,True,,1040438,6804390,811736,457386,0,30644013,0,2082687.7215692243,0,1390197,0,3124630,190940,457106,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 54 m2 Depok Barat,Bekas,523567643.0,860698581.9584124,True,,1642776,0,772627,560874,8357730,23190764,2907384,1820068.9290631518,19878041,0,0,3495121,0,4567848,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,27048574.74591875,28869241.7558446,True,7827.0,1400666,7765528,824447,755415,6715997,12331093,2620408,723429.9002019026,1891616,0,4955190,3611646,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,2818 m2 perkotaan DKI Jakarta,,71696638112.0,101275046057.30063,True,6973.0,1217010,6053323,1322985,594766,0,23409861,3765535,1839701.8412169027,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,"Cincin tunangan berlian solitaire 0,25 karat",,6761032.888770523,12626515.754274894,True,,603243,0,1372269,1036613,0,32138042,1215997,2357688.82846342,7027316,0,1397784,0,151241,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Bekas,8324177.119616105,7875062.41924659,True,2477.0,1253702,0,1093975,865367,7167614,11847998,0,1129304.1397356058,15560801,2998233,0,0,335137,4102607,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Baru,29860316.62143983,71467946.09871744,True,9932.0,1286278,1259572,949943,1019498,7062892,15617372,0,1206640.9734585644,0,0,0,4497787,2199594,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor bebek,Honda Supra X 125,Bekas,13821700.222743394,28590657.258570015,True,8696.0,992958,3175545,1100902,959367,7961868,7207705,0,360601.17980178446,17198831,155132,0,0,3444841,453098,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 55 m2 DKI Jakarta,Baru,1969849225.0,1737909616.4434743,True,7529.0,1074027,9415801,1360941,999073,7686917,7777724,1811982,555197.0003894641,17122235,1589684,2549965,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Lenovo ThinkPad X1 Carbon Gen 10,Bekas,19401485.251932185,16259825.32683028,True,6844.0,652893,0,1013510,1020212,0,10630756,1772358,785484.5679855784,182888,0,4907143,2198166,1377329,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,"Cincin tunangan berlian solitaire 0,25 karat",,5330822.404061167,8944622.255965162,False,3794.0,1612081,0,767266,494805,6574575,18642883,0,1799692.104038225,14736806,0,1582335,101753,0,1202268,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Yamaha Vixion,Bekas,23603728.81718539,19201186.079848412,True,8188.0,1868765,0,1057616,1497867,0,5414124,0,342844.50013122364,0,0,0,4264004,0,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Honda Brio,Bekas,139138828.24201834,227999096.80424994,True,4026.0,636994,2077227,1144927,754343,8203298,15622307,0,1194067.6250142644,0,0,4057739,3866920,1877794,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Xiaomi 12S Pro,Bekas,16002626.028328406,40505346.41901314,True,8914.0,260220,8793229,1122181,893316,3280865,29664924,2095039,2438052.9806372654,0,1761690,0,2331850,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,7199259.605666043,18538030.764655154,True,4653.0,1731176,5490519,762318,736440,0,30195337,0,2408128.2395577556,8740393,3790079,4488466,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 213 m2 Sleman,Bekas,819767885.0,1427132372.772684,True,5107.0,1446763,0,1267107,638328,0,7562373,4248501,578960.4560915517,19189880,0,0,4176274,886760,374962,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,19428182.260035995,19050315.834450588,True,7821.0,1056875,1787327,1443876,914221,0,16973335,0,1480199.3592432856,0,0,0,2571127,849532,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,21236551.087506697,63042923.20472718,True,5638.0,1087943,0,1013798,818536,3785892,8868417,2229939,640696.4966591987,0,846891,562008,1365421,0,4766092,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Kawasaki Ninja 250,Baru,47364437.01622784,120177244.00513229,True,7086.0,1355502,0,1173209,545448,0,16688940,1554214,905354.7626528079,9034316,0,0,1460601,1212398,4374730,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 288 m2 DKI Jakarta,Baru,2074972065.0,3582535473.047868,True,3356.0,1224238,2198933,871301,818614,5798106,14972404,0,1021241.3793927951,0,0,4167914,0,3892432,4489653,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,21191612.616258014,26986139.662382364,True,2004.0,688152,4358253,1020926,1414884,0,31015705,0,2515919.378250777,0,0,0,1361984,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 161 m2 Palembang,Bekas,847300211.0,777141995.3544033,True,2122.0,490493,0,909623,1069631,0,30202594,0,2718566.760673416,0,0,0,0,1825637,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang perak sterling dengan liontin mutiara dan berlian,,986898.6547413456,1513188.922139741,True,1408.0,1714386,8029205,1056239,597223,6056652,9644178,0,650762.1739790736,10770447,1740856,2060576,0,0,2411558,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,1677 m2 pedesaan Gresik,,9772368684.0,18763084068.575714,False,3440.0,1875181,0,1406121,1318091,9777278,9266077,0,719249.3293358803,17168363,4465621,3294420,0,4323991,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Honda CBR 150R,Bekas,30409959.326223742,25570518.239871655,False,6454.0,333497,0,1142645,778537,3639237,34431230,0,2395222.0500112595,5164998,0,4998544,0,678514,2797596,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 50 gram,,30409959.326223742,44160984.011641085,True,7367.0,1462430,4618479,838276,1358995,0,17979622,0,1729091.5477070005,0,2350361,0,0,3487743,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,10547546.880564058,13286186.832298368,True,7843.0,1966104,6122083,1480104,764110,0,27074452,0,1739886.5165713169,15257713,3043266,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,6753623.242185292,15482106.700314809,True,4458.0,1945884,7888499,1110073,1049357,0,15901182,4103760,1572077.4498835201,19122169,0,0,3020673,349220,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Suzuki GSX-R 150,Baru,32932580.306410775,32247029.47247823,True,6151.0,1723696,1554197,759479,420776,3759464,14905694,0,763097.7290010848,0,0,3494962,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
