nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-23 03:50:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-31 23:40:00",480,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-31 23:40:00",1720,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-31 23:40:00",6320,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-31 23:00:27",500,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-31 23:40:00",160,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-31 23:40:00",3290,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-31 23:40:00",1560,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-31 23:40:00",1460,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-31 23:40:00",-2000,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-31 23:40:00",1480,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-31 23:00:27",900,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-31 23:40:00",680,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-31 23:30:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-31 23:40:00",1950,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-31 23:40:00",1850,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-31 23:40:00",1600,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-31 23:40:00",1700,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 12:20:00",1710,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-23 03:50:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 00:10:00",470,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 00:10:00",1670,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 00:10:00",6390,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-31 23:00:27",500,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 00:10:00",200,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 00:10:00",3240,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 00:10:00",1590,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 00:10:00",1500,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 00:10:00",-2000,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-31 23:50:00",1460,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-31 23:00:27",900,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 00:00:00",680,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 00:00:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 00:10:00",1930,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 00:10:00",2060,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 00:00:00",1640,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 00:10:00",1800,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-23 03:50:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 00:40:00",450,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 00:40:00",1630,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 00:40:00",6590,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-31 23:00:27",500,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 00:40:00",240,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 00:40:00",3230,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 00:40:00",1620,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 00:40:00",1510,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 00:40:00",-1990,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 00:40:00",1330,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-31 23:00:27",900,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 00:30:00",680,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 00:30:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 00:40:00",1920,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 00:40:00",2110,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 00:40:00",1700,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 00:40:00",1780,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-01 01:10:00",400,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 01:10:00",440,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 01:10:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 01:10:00",6800,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-31 23:00:27",500,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 01:10:00",280,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 01:10:00",3290,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 01:10:00",1140,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 01:10:00",1510,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 01:10:00",-1900,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 01:10:00",300,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-01 01:00:00",2000,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 01:10:00",680,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 01:00:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 01:10:00",1910,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 01:10:00",2150,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 01:10:00",1750,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 01:10:00",1810,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-01 01:40:00",380,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 01:40:00",430,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 01:40:00",1570,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 01:40:00",7060,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-31 23:00:27",500,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 01:40:00",-50,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 01:40:00",3460,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 01:40:00",1690,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 01:40:00",1600,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 01:40:00",-1790,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 01:40:00",1670,"Status : Siaga 3"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-01 01:00:00",2000,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 01:40:00",680,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 01:30:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 01:40:00",1960,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 01:40:00",2210,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 01:40:00",1800,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 01:40:00",1930,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-01 02:10:00",380,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 02:10:00",420,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 02:10:00",1590,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 02:10:00",7350,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-31 23:00:27",500,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 02:10:00",-190,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 02:10:00",3800,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 02:10:00",1690,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 02:10:00",1560,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 02:10:00",-1780,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 02:10:00",1790,"Status : Siaga 3"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-01 01:00:00",2000,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 02:10:00",680,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 02:00:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 02:10:00",2050,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 02:10:00",1870,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 02:10:00",1920,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 02:10:00",1970,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-01 02:40:00",380,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 02:40:00",420,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 02:40:00",1600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 02:40:00",7960,"Status : Siaga 3"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-01 02:00:02",1200,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 02:40:00",410,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 02:40:00",4680,"Status : Siaga 3"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 02:40:00",1760,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 02:40:00",1630,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 02:40:00",-1740,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 02:40:00",1850,"Status : Siaga 3"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-01 02:00:02",1000,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 02:40:00",680,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 02:30:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 02:40:00",2200,"Status : Siaga 3"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 02:40:00",2110,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 02:40:00",2050,"Status : Siaga 1"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 02:40:00",2020,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-01 03:10:00",370,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 03:10:00",410,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 03:10:00",1610,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 03:10:00",8450,"Status : Siaga 3"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-01 02:00:02",1200,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 03:10:00",100,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 03:10:00",5220,"Status : Siaga 3"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 03:10:00",1780,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 03:10:00",1660,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 03:10:00",-1740,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 03:10:00",1820,"Status : Siaga 3"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-01 02:00:02",1000,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 03:10:00",920,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 03:00:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 03:10:00",2380,"Status : Siaga 3"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 03:10:00",2380,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 03:10:00",2230,"Status : Siaga 1"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 03:10:00",2030,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-01 03:40:00",390,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 03:40:00",400,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 03:40:00",1550,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 03:40:00",8700,"Status : Siaga 2"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-01 02:00:02",1200,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 03:40:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 03:40:00",5710,"Status : Siaga 2"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 03:40:00",1830,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 03:40:00",1630,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 03:40:00",-1700,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 03:30:00",1750,"Status : Siaga 3"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-01 02:00:02",1000,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 03:30:00",1150,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 03:30:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 03:40:00",2660,"Status : Siaga 3"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 03:40:00",2640,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 03:40:00",2440,"Status : Siaga 1"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 03:40:00",2130,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-01 04:10:00",370,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 04:10:00",400,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 04:10:00",1540,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 04:10:00",8890,"Status : Siaga 2"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-01 03:14:15",1300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 04:10:00",630,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 04:10:00",6020,"Status : Siaga 1"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 04:10:00",1910,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 04:10:00",1680,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 04:10:00",-1620,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 04:10:00",1750,"Status : Siaga 3"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-01 04:00:39",1150,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 04:10:00",1500,"Status : Siaga 3"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 04:00:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 20:00:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 04:10:00",2810,"Status : Siaga 2"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 04:10:00",2800,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 04:10:00",2620,"Status : Siaga 1"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 04:10:00",2230,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-01 04:40:00",380,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 04:40:00",390,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 04:40:00",1510,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 04:40:00",9080,"Status : Siaga 2"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-01 03:14:15",1300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 04:40:00",490,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 04:40:00",6380,"Status : Siaga 1"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 04:40:00",1910,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 04:40:00",1580,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 04:40:00",-1500,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 04:40:00",1730,"Status : Siaga 3"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-01 04:00:39",1150,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-01 04:40:00",1670,"Status : Siaga 3"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-01 04:30:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 20:30:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-01 04:40:00",2870,"Status : Siaga 2"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-01 04:40:00",2860,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-01 04:40:00",2660,"Status : Siaga 1"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-01 04:40:00",2230,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 23:30:00",1800,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-01 05:10:00",370,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 05:10:00",390,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 05:10:00",1530,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-01 05:10:00",9270,"Status : Siaga 2"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-01 03:14:15",1300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-01 05:10:00",890,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-01 05:10:00",6800,"Status : Siaga 1"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-01 05:50:00",1900,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-01 05:10:00",1680,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-01 05:10:00",-1410,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-01 05:10:00",1750,"Status : Siaga 3"
