collateral_auction_type,collateral_name,collateral_specification,collateral_info,collateral_market_price,invoice_auction_price,invoice_ttd,invoice_num,mrent_price,cc_bill,food_cost,trans_cost,employee_installment_loan,monthly_income,Bonus_income,salary_reduction,add_income,dependents_1,dependents_2,dependents_3,dependents_4,dependents_5,coworker_report,fraud
Properti,Tanah,3992 m2 pedesaan Depok Barat,,23728296304.0,60520956342.54887,True,9669.0,1595848,0,841655,748044,6571950,9228419,0,730625.064626972,0,0,0,2925366,0,4774590,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin perak sterling dengan batu permata hijau,,960062.6266534869,909571.4433958665,True,7480.0,922276,9603421,1300529,1280722,0,33738896,0,2176099.7821952286,16879063,1402311,0,0,3515490,147305,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2226 m2 pinggiran kota Surabaya Timur,,24337258680.0,51971764254.23538,True,,1681197,3207050,1374849,382385,0,24837011,0,2413041.40355082,0,0,579894,0,2545319,3582508,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,8130309.548501376,22635933.86797101,True,7898.0,1330118,0,942942,1253097,9476448,22250200,1840948,1213786.289640382,0,0,0,2341094,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,BMW Seri 3,Bekas,2093277706.3153374,2844400539.8378267,True,6526.0,905575,6422888,1064172,1469286,7722809,32404744,3103327,3026184.3932793234,0,0,0,0,0,95919,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Honda CBR 150R,Bekas,28863322.59805112,50369941.03187576,True,4172.0,1196235,1684969,1057502,816922,4661607,10663113,1525373,828717.6518548253,0,0,0,2855709,0,132322,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Honda CRF 150L,Baru,35384000.0,72707411.73346885,True,4680.0,908190,0,1482202,618494,0,11373235,0,612603.9158985072,0,0,3468947,122796,3843689,1900023,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,3782 m2 perkotaan Palembang,,32600110074.0,30042326746.45574,True,9340.0,1907877,0,1271045,873343,9746218,23851781,0,1973132.0992577833,14627414,0,3247141,0,1370192,1080679,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Mitsubishi Xpander,Bekas,211944719.99777913,219706118.25706765,True,9195.0,492734,0,1155116,1318358,0,20870350,0,1168926.0298592208,0,0,0,0,2540670,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 234 m2 Makassar,Baru,1698486966.0,4958471506.232691,True,9681.0,701490,3394456,1299881,1103477,5867195,30655043,0,2287142.6512930645,0,0,3527072,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,870669.213271405,2288744.7297283867,True,5142.0,1776310,0,1022372,1491510,8871600,31963516,0,2261815.699650138,5878976,0,1021774,3274772,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Mazda CX-5,Bekas,530657304.2984146,520584975.96891946,True,4551.0,1383067,0,1362956,802690,0,22252570,2484996,1770053.3284230619,2565119,0,0,2461796,0,4699094,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,19761031.845497638,37867789.21838807,True,1721.0,833491,2910740,807856,675494,7200922,14592373,0,768910.0834310064,0,1196557,0,0,2608139,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 68 m2 Medan Barat,Bekas,977485743.0,1763930148.3976152,True,2211.0,437694,0,1278966,704141,0,20842893,0,1402904.185767147,0,0,0,0,0,712148,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4456 m2 perkotaan Batam,,46205235408.0,103833443235.20616,True,5472.0,437012,0,942372,897862,2491044,21051924,2947658,1253733.428253781,173378,1389948,0,4297804,0,1753328,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,8302146.521713833,17387417.09047655,True,6193.0,1749254,2901792,817700,1377059,4839274,14554431,0,1019504.1166960283,3532381,0,1092848,4538206,3865260,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Yamaha Vixion,Baru,28761499.23418289,45583230.92858578,False,4938.0,1975560,5437219,1345685,1492197,7384521,34629368,4645703,2423095.341842212,0,0,0,0,3934876,4629640,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Xiaomi 12S Pro,Baru,17946605.41850169,30784005.14417947,True,2331.0,1540117,5138236,1353331,668217,9998554,26917495,3004614,1963316.2238737037,7786015,0,3620925,565715,2557240,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2455 m2 perkotaan Medan,,31702102400.0,57065119019.54811,True,8041.0,649415,0,1316697,1461926,4346226,14186743,0,1085600.7619092078,8732618,88798,0,0,4378434,3340727,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2212 m2 pedesaan Sleman,,7967586396.0,13825954589.966686,True,3649.0,1075751,0,981418,1002452,0,27898462,3191795,2220637.1577711813,0,0,942885,1066839,0,4998536,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,22667574.16926134,54494554.147966065,True,3488.0,1057360,0,1398864,383633,5736644,9858024,2156343,508418.3863064426,849289,1634929,0,2447686,1440486,4064009,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,iPhone 14 Pro Max,Baru,34352675.713567436,99926496.68285619,True,4690.0,797087,0,1070517,1358225,0,19822610,4655875,1760225.1263940558,19837542,1413163,0,44437,4822340,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Bekas,11580125.376748512,17836177.574928,True,3362.0,1036575,0,1197295,547983,7696298,34731496,1271064,3027220.49931696,12425158,4830381,2925868,1062726,2698752,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Suzuki GSX-R 150,Baru,33197900.17365524,81779131.4539153,True,6258.0,1028045,2346374,915962,401509,8187222,26485556,0,1646559.3251716346,18482428,66505,3674630,4854872,0,4682228,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3593 m2 pedesaan Kulon Progo,,17184510575.0,13797471114.626179,True,6009.0,1584008,0,1241504,396082,8918728,11202170,0,947098.6170618075,0,0,0,0,0,213333,5,Data mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang mutiara multi dengan desain chevron,,8862223.781072315,24525706.15760331,True,1011.0,1648417,0,901020,1218658,0,18130688,0,1089280.680180616,289709,0,3681957,0,0,396327,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 292 m2 Depok Barat,Baru,600386763.0,560200867.9395928,True,3115.0,758641,0,778539,848224,0,23648381,0,1733221.4566694398,6072546,0,0,4997806,4884089,38019,1,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Mazda CX-5,Bekas,536486589.2067656,380907066.98025197,True,,641210,0,1279396,1292077,0,26148377,0,2279258.1559396368,0,0,0,0,4883798,4465900,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Asus ZenBook 14X OLED,Baru,16459324.516911274,31770558.16327198,True,6330.0,1727375,1661344,1026536,753571,8506454,12182141,3415369,1200535.3747549588,0,0,0,3457017,3625711,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,20584589.520102933,31895881.59344095,True,5428.0,435642,0,873654,761749,7330011,9164954,0,803298.3183982136,0,0,2956588,1360161,4807015,839589,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Bekas,18448212.044244763,14421179.755633783,True,4518.0,1760920,0,848976,1228455,4997367,28939579,4970074,2698615.965760559,0,3925287,0,75893,4601777,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4250 m2 perkotaan Yogyakarta,,28868197250.0,21613627035.77517,True,8572.0,369598,5150278,1129654,989868,6628305,22838281,0,1899241.2472472785,0,0,3206564,2027757,0,2178917,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,1064173.3996734852,2088291.1954462067,True,9335.0,1999864,644519,810158,750369,0,22345940,0,2117995.867506005,8457915,288423,4261544,0,2073661,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,1180436.6824978432,1013261.1409944844,True,6420.0,241007,8106811,843676,476851,0,19900004,1911684,1363358.3581314492,13942305,891044,0,0,0,2568405,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 278 m2 Bantul,Baru,635081889.0,714281507.8604417,True,6747.0,615819,0,1375835,614220,0,24889837,0,2086302.6444158205,0,24770,0,0,2300583,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4825 m2 pinggiran kota Surabaya Timur,,44987841625.0,121150266350.87672,True,3666.0,747637,0,1207308,1426766,0,27909462,2035263,1854624.714952298,0,0,14089,3016050,0,2783709,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung emas kuning 22 karat dengan liontin berbentuk hati,,6610959.411818401,17203053.96161921,True,1344.0,1164534,5694129,1008726,812192,6134507,18208183,3288490,1341403.3205907324,830843,361860,0,0,289475,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Lenovo ThinkPad X1 Carbon Gen 10,Bekas,18583191.895412605,52633423.7124224,True,,858266,0,1452556,1471673,8637621,28212502,0,2722549.939789146,5972957,3225428,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,1151 m2 pedesaan Sleman,,4681165342.0,5316618472.7586,True,4196.0,1368218,0,808297,1343696,0,29780035,4760314,2968921.6293986025,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Mercedes-Benz C-Class,Bekas,2266182489.740379,6475342824.040579,True,7883.0,1954125,1902316,1060739,884743,0,21214909,0,1418862.6479901182,300846,0,1548151,4299050,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3913 m2 perkotaan Bandung,,69576567788.0,87566081363.9014,False,2382.0,869038,3963440,1354010,1135630,0,29988358,0,2806845.96418505,0,0,0,4030582,0,4258873,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 212 m2 Depok Timur,Baru,857434438.0,2015591336.382513,True,6698.0,1620841,5064518,879050,608807,8875124,13006692,0,1159757.3185552703,5830702,244029,2534513,582107,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor bebek,Suzuki Smash,Bekas,15585812.05068376,40036769.14595628,True,7708.0,1362494,1734001,1158803,913008,0,17030577,2105223,1035134.9662327034,12769687,0,0,0,562714,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 101 m2 Surabaya Utara,Baru,1524855866.0,1506341541.8226635,True,9734.0,688976,4768824,1101066,1330884,5622530,11592359,4079141,938755.5987484637,12544817,0,4192377,0,2848693,2297194,4,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,6263469.506944034,3856956.3800588474,True,6826.0,399710,1901902,1276010,859742,0,34002123,1804400,2190151.8344213814,8754948,0,3755367,2159863,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 2 gram,,6263469.506944034,4742130.605174071,True,3689.0,1293482,0,1155811,796734,0,24219096,2328927,1341751.2579130859,680187,2592320,3755527,0,0,4421030,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin perak sterling dengan batu permata biru,,527953.7918369727,729089.1426158499,True,7267.0,1046996,7283259,1400559,1344638,0,32980147,0,2277368.138057793,2376279,2422345,0,0,1608116,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3596 m2 perkotaan Makassar,,29657902120.0,79536649011.24022,True,,1212714,2951946,1090091,924547,7948365,34109408,0,1784605.481931336,0,4571487,0,4565214,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Bekas,14589233.462208752,35144653.210326135,False,9570.0,1592841,8638168,1364191,1109329,5672707,14664120,0,1063709.5011775696,0,765695,0,508623,0,2174214,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Dell XPS 13 9320,Bekas,13019992.519105671,39048124.86362932,True,6830.0,371218,1256669,1385979,1355992,4727314,22253675,0,1204052.884267378,0,1393366,0,2854176,0,2764948,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,27912954.272097223,41792534.36317565,True,1389.0,1589719,6806298,1365216,603773,7224225,21350398,0,1848182.1173746167,0,0,0,134651,0,4374454,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 0.5 gram,,27912954.272097223,71334749.8041956,True,6804.0,1251591,7142554,814263,982213,0,6922310,2003951,546781.6139547478,17722005,0,0,0,1342941,2600723,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,26375033.2582377,53400600.486117974,True,1884.0,604114,0,1464932,1406938,0,30086975,0,2157355.9136359966,12739398,1142934,1829405,827308,4844240,4539248,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin tunangan berlian solitaire 1 karat,,29281151.620434962,38411418.46948186,True,1733.0,738486,4840092,1176527,783725,3613709,6657715,0,381671.653102412,11956056,3346923,0,3707164,946303,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 100 gram,,29281151.620434962,83709290.73044556,True,4797.0,1568831,994688,1468303,1355060,4695281,12444514,0,898340.4403564119,2896659,1654153,580248,0,0,2318062,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Baru,23101676.730007946,22819545.137849323,True,7106.0,1254375,9985069,1307300,1096759,0,24433668,4738879,2279735.9090658925,0,0,1913026,3469906,3882827,1555399,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Bekas,19333303.03464841,42509900.24842988,True,1684.0,1877041,2053147,1225315,1125863,0,33121643,1277598,2165943.194965103,0,0,0,0,0,4650204,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 100 gram,,19333303.03464841,25837020.11791753,True,6337.0,556807,5939753,1494287,1144225,0,15284575,0,1304587.6447632203,2526730,0,0,0,0,2653850,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Bekas,14302610.96494864,28404401.6508355,True,9340.0,348001,3850174,1263565,1268767,0,5805487,4145664,412524.6333223473,9432877,0,0,0,2155392,2970200,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 2 gram,,14302610.96494864,26122386.173577167,True,7553.0,580681,9242635,1328463,584661,6794814,30278732,2696979,2363699.047961825,0,3710107,0,394510,0,228832,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 119 m2 Surabaya Timur,Baru,1592188843.0,1558904086.656116,True,5704.0,282025,0,801377,704529,0,18773091,2730514,1188302.418392107,8529982,4978620,2989991,0,3862952,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4270 m2 pinggiran kota Surabaya Utara,,39069082360.0,88117597427.78818,True,5199.0,319860,6161091,851554,916132,7095509,18657220,4502696,1025519.2838367556,8188472,0,0,4169447,627798,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Samsung Galaxy S23 Ultra,Bekas,15809646.326865645,11400739.821404684,True,4897.0,1370388,0,798887,685634,6161208,11799781,3162710,925993.8071375514,0,0,0,3020443,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Audi A4,Bekas,919083077.9822468,1198800798.2268476,False,3318.0,1191775,0,1328905,794694,0,25918660,2986874,2384050.15024701,0,3313337,4515753,0,0,3499686,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,iPhone 14 Pro Max,Baru,25956520.112764604,47549157.77434618,True,,601541,5267997,1270304,643766,0,19099495,0,1355116.5065101064,0,2589180,2486431,818941,657352,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 165 m2 Bandung,Baru,1919787195.0,1503832248.4673488,True,6932.0,278476,8243100,1234354,916407,0,26351204,2314849,2315226.5576783796,0,0,1283371,1531131,0,398476,6,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,10292281.50446768,28408385.514759257,True,7181.0,313650,5632186,1046797,558542,0,10569186,0,988384.8382783289,0,2834894,0,4946852,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Honda CBR 150R,Baru,38116381.739090174,37886718.771505296,True,6212.0,262389,0,1354758,967827,7524652,5565485,0,366623.5794100403,0,4812421,0,4091983,0,1817788,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 221 m2 Medan Barat,Bekas,929215113.0,1434349327.8596728,True,3510.0,1161503,3109797,853622,755512,0,8483721,4268221,446596.52317362634,0,3156772,0,4814685,0,409283,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Dell XPS 13 9320,Baru,16926173.570222266,15327961.04543262,True,5353.0,1099952,0,962318,388780,0,24287427,2455492,1299390.3052023698,4947592,0,0,2624895,0,3653337,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Bekas,11894281.050265942,21621692.89437176,True,,1759825,6698649,1365249,574658,0,15705604,0,1052104.0902692077,0,1162438,0,2346998,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Yamaha WR 155 R,Baru,38060000.0,100072564.55387518,True,1704.0,1250076,0,1202332,764506,0,14418438,2583966,1339760.05011703,0,4111955,0,985808,3787438,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 233 m2 Depok Barat,Bekas,710976314.0,1056616370.978382,True,5205.0,507312,0,1246230,1411842,0,16185684,4165089,1042878.3030589821,18988033,1197247,1151474,474842,0,2557761,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5431681.584380942,4192183.2545524016,True,5392.0,1066283,5164225,1413303,1443950,6760593,7229799,0,382554.4710402259,15073544,0,0,2195497,0,2361393,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,"Cincin tunangan berlian solitaire 0,25 karat",,7318676.385612683,19282235.41104686,True,8816.0,433779,3960839,1191078,1436725,8316281,22628846,0,1646714.8461544777,15512999,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Acer Swift 5,Bekas,9298082.860539759,10226687.650862008,True,2801.0,827251,4951396,1439970,1310251,5073735,25400812,0,1979718.9981891941,15884919,2329249,0,0,2982947,1248479,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Dell XPS 13 9320,Bekas,13943745.95419264,26585631.265018117,True,,1856626,7612599,1045667,691744,5851497,12482364,1806854,720445.5327637102,0,380357,0,0,800571,1635559,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Asus ZenBook 14X OLED,Bekas,14593062.527442794,11836658.987846456,True,2147.0,1118741,0,767751,488947,0,17702709,4884894,1133481.0878507127,0,1225750,0,0,0,3099297,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 250 gram,,14593062.527442794,26932744.37143515,True,8512.0,587938,0,920949,374663,8661363,26105553,3257755,1886350.709576456,9315048,0,1936578,0,0,816520,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Samsung Galaxy S23 Ultra,Bekas,16726257.837930338,40911434.271117106,True,2554.0,1410362,0,1069483,978121,5224819,13808536,0,1179373.3340250787,7492305,747809,4243583,3283171,0,1607205,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Baru,22426171.22274662,54442482.290311575,True,2863.0,341274,0,1149070,999293,3354283,25377937,0,1376892.407712633,8153150,0,0,1927251,4903895,3287054,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Suzuki Ertiga,Baru,242693842.52998847,506194428.00180864,True,8574.0,1429183,0,1435266,1284241,0,14038496,0,1181714.5743984275,17908586,0,0,1392307,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2397 m2 perkotaan Makassar,,27546254487.0,68223327390.98946,True,2640.0,993871,0,848425,576954,0,23668614,2150538,1694551.3047784993,3180086,0,0,0,0,1469248,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin perak sterling dengan batu permata opal,,811976.7067633788,1353782.2237755382,True,1215.0,651376,0,1287180,769043,5698845,16693950,0,974216.8889103152,0,0,3176625,0,869917,2680740,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,10719694.608451735,22235479.494059484,True,4952.0,1489567,0,1494314,1460002,2736024,33474856,3243576,1751014.6902970378,0,0,1580749,0,0,15699,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Vivo X80,Baru,12527923.94545966,11198499.712339852,True,7383.0,1849141,0,1095245,393063,0,27952901,3176398,1844241.5196797603,0,0,357902,2151637,4295496,20438,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 50 gram,,12527923.94545966,24826404.244354278,True,4232.0,1055562,9249494,1424314,585006,8927136,34852017,0,3015556.8751795264,7659930,0,2056257,448883,2346605,4582863,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Suzuki Ertiga,Baru,228434498.2905704,567434749.9595424,True,5234.0,369027,0,1229062,1094624,3893856,12060050,0,618075.1859362905,0,0,3927646,0,4010202,990115,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Honda Brio,Bekas,161034957.66349152,371769561.4173527,True,7539.0,1766137,0,981441,1353309,7125784,34069136,0,2300882.8462987887,0,1638771,3833116,4310414,4118497,2688009,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,4816 m2 pedesaan Sidoarjo,,19495288400.0,29171312877.47104,True,5082.0,309344,0,1400607,1249029,9799739,16295468,0,1068881.7495768133,0,4248066,0,1317299,1014506,4264358,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 292 m2 DKI Jakarta,Bekas,4639057075.0,3213026272.298065,True,,328507,0,911063,1466340,0,26490652,0,2089065.5908514345,10893517,0,650568,959758,4675280,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Xiaomi 12S Pro,Baru,15478977.797801519,13765953.573741151,True,6659.0,1818296,0,1384682,928810,3015484,32599000,0,2303569.43318021,17228560,0,0,70790,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Xenia,Bekas,101783106.73767668,245538146.18352893,True,1438.0,822731,0,1369135,397681,0,33524561,4009936,2533818.9686941686,565424,1320617,4023901,3837737,2527861,3476757,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Baru,13004519.503602955,35963059.70631506,True,,461805,7318758,1062452,900458,0,33294836,0,2412315.2289115586,19445259,0,4065545,3893814,2793927,0,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Dell XPS 13 9320,Bekas,15841844.759249128,43916873.304963335,True,2051.0,1648091,4225728,1480816,977844,2258667,22494162,3800157,2220759.140175455,0,3668196,1674270,0,2675711,3147943,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Xenia,Bekas,192058793.8558507,463441151.1365047,False,9170.0,717029,0,1463080,615573,5286131,17615613,0,1424929.0233650836,0,783587,292745,0,477337,536490,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin tunangan berlian solitaire 1 karat dengan setting halo,,21447586.656337403,53411660.99196482,True,6761.0,1128226,0,1082506,1400427,0,34604439,0,2181828.986758388,0,0,1393069,0,671399,1820732,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Baru,15483923.723948551,21315973.122106194,True,4939.0,483272,0,1490954,1352277,6500013,6833038,1517810,675650.8126181964,0,771068,0,0,1121324,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,9934952.961454643,13830696.403416252,True,,1083829,1074919,762105,651218,3261559,19494296,0,1549091.2727252897,0,0,3096062,41092,0,1361492,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 71 m2 Depok Barat,Bekas,491692186.0,1195119474.4471152,True,3738.0,515382,0,973853,1040296,0,8856791,2831340,702924.8621368343,6497070,0,0,4137985,0,3114185,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Kawasaki Ninja 250,Baru,45091684.3609815,29692533.991317347,True,3804.0,202022,0,1194909,1009372,8075850,15676712,0,1558513.3586471966,16287931,0,0,0,0,4368025,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
